p_main_party|玩 家 军 团
p_temp_party|军 队
p_camp_bandits|强 盗 营 地
p_ally_casualties|{!}
p_battlefields|battlefields
p_bridge_1|{!}1
p_bridge_10|{!}10
p_bridge_11|{!}11
p_bridge_12|{!}12
p_bridge_13|{!}13
p_bridge_14|{!}14
p_bridge_2|{!}2
p_bridge_3|{!}3
p_bridge_4|{!}4
p_bridge_5|{!}5
p_bridge_6|{!}6
p_bridge_7|{!}7
p_bridge_8|{!}8
p_bridge_9|{!}9
p_camp_bandits|{!}camp bandits
p_castle_1|安 特 卫 普 要 塞
p_castle_10|奥 斯 滕 德 海 防 要 塞
p_castle_11|泽 布 吕 赫 港 口 要 塞
p_castle_12|根 特 城 堡
p_castle_13|安 特 卫 普 防 线
p_castle_14|哈 瑟 尔 特 前 哨
p_castle_15|敦 刻 尔 克 要 塞
p_castle_16|亚 泽 布 鲁 克 要 塞
p_castle_17|阿 尔 芒 蒂 耶 尔 要 塞
p_castle_18|奥 布 尔 丹 城 堡
p_castle_19|埃 姆 要 塞
p_castle_2|哈 瑟 尔 特 城 堡
p_castle_20|鲁 贝 城 堡
p_castle_21|瓦 朗 谢 讷 要 塞
p_castle_22|康 布 雷 城 堡
p_castle_23|科 德 里 要 塞
p_castle_24|富 尔 米 城 堡
p_castle_25|德 南 要 塞
p_castle_26|格 拉 夫 林 要 塞
p_castle_27|莫 伯 日 要 塞
p_castle_28|科 德 里 防 线
p_castle_29|杜 埃 城 堡
p_castle_3|列 日 要 塞
p_castle_30|梅 赫 伦 城 堡
p_castle_31|尼 韦 勒 要 塞
p_castle_32|鲁 汶 要 塞
p_castle_33|蒂 伦 豪 特 城 堡
p_castle_34|奥 德 纳 尔 德 要 塞
p_castle_35|登 德 尔 蒙 德 城 堡
p_castle_36|利 尔 城 堡
p_castle_37|瓦 勒 海 姆 要 塞
p_castle_38|苏 瓦 尼 城 堡
p_castle_39|尼 韦 勒 前 哨
p_castle_4|那 慕 尔 城 堡
p_castle_40|阿 特 要 塞
p_castle_41|穆 斯 克 龙 城 堡
p_castle_42|卡 尔 万 城 堡
p_castle_43|阿 拉 斯 要 塞
p_castle_44|弗 尔 讷 城 堡
p_castle_45|布 兰 肯 贝 赫 城 堡
p_castle_46|洛 克 伦 要 塞
p_castle_47|泰 姆 瑟 城 堡
p_castle_48|鲁 瑟 拉 勒 要 塞
p_castle_5|沙 勒 罗 瓦 要 塞
p_castle_6|蒙 斯 城 堡
p_castle_7|布 鲁 日 城 堡
p_castle_8|蒂 尔 特 要 塞
p_castle_9|科 特 赖 克 城 堡
p_collective_ally|{!}collective ally
p_collective_enemy|{!}collective enemy
p_collective_friends|{!}collective ally
p_collective_friends_backup|{!}
p_desert_bandit_spawn_point|the deserts
p_dhorak_keep|Dhorak Keep
p_encountered_party_backup|{!}
p_enemy_casualties|{!}
p_forest_bandit_spawn_point|the forests
p_four_ways_inn|Four Ways Inn
p_looter_spawn_point|{!}looter sp
p_main_party|Main Party
p_main_party_backup|{!}
p_mountain_bandit_spawn_point|the highlands
p_player_casualties|{!}
